Lifetime (mins),Density (%)
2.1800253234900517,5.040000000000001
2.1800253234900517,4.96
2.1800253234900517,5.119999999999999
2.2586355207213766,5.040000000000001
2.2586355207213766,4.96
2.3400803470013467,5.040000000000001
2.3400803470013467,4.879999999999999
2.3400803470013467,4.96
2.424462017082328,4.879999999999999
2.424462017082328,5.040000000000001
2.424462017082328,4.96
2.51188643150958,4.800000000000001
2.51188643150958,4.96
2.51188643150958,4.879999999999999
2.6024633095283813,4.800000000000001
2.6024633095283813,4.96
2.6024633095283813,4.879999999999999
2.696306326783702,4.800000000000001
2.696306326783702,4.72
2.696306326783702,4.640000000000001
2.696306326783702,4.879999999999999
2.793533257985221,4.72
2.793533257985221,4.640000000000001
2.793533257985221,4.5600000000000005
2.793533257985221,4.879999999999999
2.793533257985221,4.800000000000001
2.894266124716751,4.72
2.894266124716751,4.640000000000001
2.894266124716751,4.5600000000000005
2.894266124716751,4.4799999999999995
2.894266124716751,4.4
2.9986313485755662,4.4
2.9986313485755662,4.4799999999999995
2.9986313485755662,4.32
2.9986313485755662,4.5600000000000005
3.10675990983383,4.4
3.10675990983383,4.16
3.10675990983383,4.4799999999999995
3.10675990983383,4.32
3.10675990983383,4.24
3.218787511821237,4.32
3.218787511821237,4.08
3.218787511821237,4.16
3.218787511821237,4.0
3.218787511821237,4.24
3.334854751235186,3.92
3.334854751235186,4.16
3.334854751235186,4.24
3.334854751235186,4.0
3.334854751235186,4.08
3.45510729459222,3.84
3.45510729459222,4.4799999999999995
3.45510729459222,3.76
3.45510729459222,4.5600000000000005
3.45510729459222,4.4
3.45510729459222,4.16
3.45510729459222,4.32
3.45510729459222,4.640000000000001
3.45510729459222,4.72
3.45510729459222,4.0
3.45510729459222,4.24
3.45510729459222,4.08
3.45510729459222,3.92
3.579696061042172,5.119999999999999
3.579696061042172,5.040000000000001
3.579696061042172,4.5600000000000005
3.579696061042172,5.2
3.579696061042172,4.800000000000001
3.579696061042172,4.4799999999999995
3.579696061042172,4.96
3.579696061042172,4.879999999999999
3.579696061042172,4.640000000000001
3.579696061042172,4.72
3.579696061042172,4.32
3.579696061042172,4.24
3.579696061042172,4.16
3.579696061042172,4.08
3.579696061042172,4.0
3.579696061042172,4.4
3.7087774117744745,4.800000000000001
3.7087774117744745,4.879999999999999
3.7087774117744745,4.96
3.7087774117744745,4.640000000000001
3.7087774117744745,5.040000000000001
3.7087774117744745,5.119999999999999
3.7087774117744745,5.2
3.7087774117744745,4.72
3.7087774117744745,5.279999999999999
3.7087774117744745,4.4799999999999995
3.7087774117744745,5.359999999999999
3.7087774117744745,4.5600000000000005
3.7087774117744745,5.6
3.7087774117744745,5.44
3.7087774117744745,5.52
3.8425133462543215,5.84
3.8425133462543215,5.680000000000001
3.8425133462543215,5.6
3.8425133462543215,4.96
3.8425133462543215,5.92
3.8425133462543215,5.52
3.8425133462543215,5.040000000000001
3.8425133462543215,6.0
3.8425133462543215,5.119999999999999
3.8425133462543215,5.44
3.8425133462543215,5.2
3.8425133462543215,6.08
3.8425133462543215,5.359999999999999
3.8425133462543215,5.279999999999999
3.8425133462543215,5.76
3.9810717055349722,6.5600000000000005
3.9810717055349722,6.0
3.9810717055349722,6.16
3.9810717055349722,5.52
3.9810717055349722,6.24
3.9810717055349722,5.92
3.9810717055349722,5.44
3.9810717055349722,6.4
3.9810717055349722,6.32
3.9810717055349722,6.08
3.9810717055349722,5.680000000000001
3.9810717055349722,5.76
3.9810717055349722,6.4799999999999995
3.9810717055349722,5.84
3.9810717055349722,5.6
4.1246263829013525,6.5600000000000005
4.1246263829013525,6.640000000000001
4.1246263829013525,6.16
4.1246263829013525,6.24
4.1246263829013525,6.8
4.1246263829013525,6.32
